job_id,job_title,industry,required_education,required_degree_field,years_of_experience,hard_skills,soft_skills,hard_skills_normalized,soft_skills_normalized,all_skills
50,Medical Laboratory Technologist,Healthcare,Bachelor,Science,1,"['Lab Testing', 'Microscopy', 'Data Management', 'Hematology analysis', 'Clinical Chemistry analysis', 'Microbiology techniques (staining, culturing)', 'Blood banking procedures', 'Quality Control (QC) in labs', 'Laboratory Information Systems (LIS)', 'Operating and calibrating lab equipment']","['Precision', 'Time Management', 'Collaboration']","['lab testing', 'microscopy', 'data management', 'hematology analysis', 'clinical chemistry analysis', 'microbiology techniques (staining, culturing)', 'blood banking procedures', 'quality control (qc) in labs', 'laboratory information systems (lis)', 'operating and calibrating lab equipment']","['precision', 'time management', 'collaboration']","['lab testing', 'microscopy', 'data management', 'hematology analysis', 'clinical chemistry analysis', 'microbiology techniques (staining, culturing)', 'blood banking procedures', 'quality control (qc) in labs', 'laboratory information systems (lis)', 'operating and calibrating lab equipment', 'precision', 'time management', 'collaboration']"
51,Paramedic,Healthcare,Bachelor,Medicine (Medicine and Nursing Students),2,"['Emergency Care', 'CPR', 'Medical Equipment', 'Advanced Cardiac Life Support (ACLS)', 'Pediatric Advanced Life Support (PALS)', 'Trauma Assessment and Management', 'Medication Administration (pre-hospital)', 'Intravenous (IV) Access', 'Spinal Immobilization', 'Defibrillation']","['Calm Under Pressure', 'Quick Decision-Making', 'Compassion']","['emergency care', 'cpr', 'medical equipment', 'advanced cardiac life support (acls)', 'pediatric advanced life support (pals)', 'trauma assessment and management', 'medication administration (pre-hospital)', 'intravenous (iv) access', 'spinal immobilization', 'defibrillation']","['calm under pressure', 'quick decision-making', 'compassion']","['emergency care', 'cpr', 'medical equipment', 'advanced cardiac life support (acls)', 'pediatric advanced life support (pals)', 'trauma assessment and management', 'medication administration (pre-hospital)', 'intravenous (iv) access', 'spinal immobilization', 'defibrillation', 'calm under pressure', 'quick decision-making', 'compassion']"
52,Psychiatrist,Healthcare,Master,Medicine (Medicine and Nursing Students),5,"['Diagnosis', 'Psychotherapy', 'Medication Management', 'Psychological Assessment', 'Cognitive Behavioral Therapy (CBT)', 'Dialectical Behavior Therapy (DBT)', 'Neuropsychological Testing', 'Statistical analysis (for research)', 'Crisis Intervention', 'Report Writing (clinical)']","['Active Listening', 'Empathy', 'Patience']","['diagnosis', 'psychotherapy', 'medication management', 'psychological assessment', 'cognitive behavioral therapy (cbt)', 'dialectical behavior therapy (dbt)', 'neuropsychological testing', 'statistical analysis (for research)', 'crisis intervention', 'report writing (clinical)']","['active listening', 'empathy', 'patience']","['diagnosis', 'psychotherapy', 'medication management', 'psychological assessment', 'cognitive behavioral therapy (cbt)', 'dialectical behavior therapy (dbt)', 'neuropsychological testing', 'statistical analysis (for research)', 'crisis intervention', 'report writing (clinical)', 'active listening', 'empathy', 'patience']"
53,Psychologist,Healthcare,Master,Arts and Social Sciences,3,"['Psychological Testing', 'Counseling', 'Behavioral Analysis', 'Psychopharmacology', 'Diagnostic tools (DSM-5)', 'Neuroscience knowledge', 'Crisis management', 'Inpatient and Outpatient Care Management', 'Electroconvulsive Therapy (ECT) (for relevant specializations)', 'Psychiatric Interviewing Techniques']","['Empathy', 'Communication', 'Critical Thinking']","['psychological testing', 'counseling', 'behavioral analysis', 'psychopharmacology', 'diagnostic tools (dsm-5)', 'neuroscience knowledge', 'crisis management', 'inpatient and outpatient care management', 'electroconvulsive therapy (ect) (for relevant specializations)', 'psychiatric interviewing techniques']","['empathy', 'communication', 'critical thinking']","['psychological testing', 'counseling', 'behavioral analysis', 'psychopharmacology', 'diagnostic tools (dsm-5)', 'neuroscience knowledge', 'crisis management', 'inpatient and outpatient care management', 'electroconvulsive therapy (ect) (for relevant specializations)', 'psychiatric interviewing techniques', 'empathy', 'communication', 'critical thinking']"
54,Medical Sales Representative,Healthcare,Bachelor,Business,2,"['Sales Techniques', 'Product Knowledge', 'CRM Software', 'Territory Management', 'Lead Generation', 'Client Relationship Management', 'Sales Presentations', 'Negotiation', 'Market Analysis (medical devices/pharma)', 'Compliance with medical regulations']","['Negotiation', 'Communication', 'Persuasion']","['sales techniques', 'product knowledge', 'crm software', 'territory management', 'lead generation', 'client relationship management', 'sales presentations', 'negotiation', 'market analysis (medical devices/pharma)', 'compliance with medical regulations']","['negotiation', 'communication', 'persuasion']","['sales techniques', 'product knowledge', 'crm software', 'territory management', 'lead generation', 'client relationship management', 'sales presentations', 'negotiation', 'market analysis (medical devices/pharma)', 'compliance with medical regulations', 'negotiation', 'communication', 'persuasion']"
55,Healthcare Administrator,Healthcare,Bachelor,Business,4,"['Healthcare Regulations', 'Budget Management', 'Staff Scheduling', 'Electronic Health Records (EHR) system management', 'Healthcare Billing and Coding', 'Revenue Cycle Management', 'Quality Assurance in healthcare', 'Compliance (HIPAA, etc.)', 'Healthcare Information Systems (HIS)', 'Data Analysis (healthcare metrics)']","['Leadership', 'Organization', 'Problem-Solving']","['healthcare regulations', 'budget management', 'staff scheduling', 'electronic health records (ehr) system management', 'healthcare billing and coding', 'revenue cycle management', 'quality assurance in healthcare', 'compliance (hipaa, etc.)', 'healthcare information systems (his)', 'data analysis (healthcare metrics)']","['leadership', 'organization', 'problem-solving']","['healthcare regulations', 'budget management', 'staff scheduling', 'electronic health records (ehr) system management', 'healthcare billing and coding', 'revenue cycle management', 'quality assurance in healthcare', 'compliance (hipaa, etc.)', 'healthcare information systems (his)', 'data analysis (healthcare metrics)', 'leadership', 'organization', 'problem-solving']"
56,Veterinary Surgeon,Healthcare,Master,Medicine (Medicine and Nursing Students),3,"['Surgical Procedures', 'Animal Diagnosis', 'Anesthesia', 'Veterinary Anatomy', 'Diagnostic Imaging (X-ray, Ultrasound for animals)', 'Pharmacology (veterinary)', 'Suture Techniques (veterinary)', 'Sterile Surgical Environment Management', 'Pain Management (animals)', 'Emergency Veterinary Medicine']","['Compassion', 'Attention to Detail', 'Patience']","['surgical procedures', 'animal diagnosis', 'anesthesia', 'veterinary anatomy', 'diagnostic imaging (x-ray, ultrasound for animals)', 'pharmacology (veterinary)', 'suture techniques (veterinary)', 'sterile surgical environment management', 'pain management (animals)', 'emergency veterinary medicine']","['compassion', 'attention to detail', 'patience']","['surgical procedures', 'animal diagnosis', 'anesthesia', 'veterinary anatomy', 'diagnostic imaging (x-ray, ultrasound for animals)', 'pharmacology (veterinary)', 'suture techniques (veterinary)', 'sterile surgical environment management', 'pain management (animals)', 'emergency veterinary medicine', 'compassion', 'attention to detail', 'patience']"
57,Nutritionist,Healthcare,Bachelor,Science,1,"['Diet Planning', 'Nutritional Assessment', 'Food Science', 'Macronutrient and Micronutrient Analysis', 'Dietary Software (e.g., MyFitnessPal, Cronometer)', 'Medical Nutrition Therapy (MNT)', 'Food Label Reading and Interpretation', 'Meal Planning Software', 'Anthropometric Measurements', 'Sports Nutrition (if specialized)']","['Communication', 'Empathy', 'Motivation']","['diet planning', 'nutritional assessment', 'food science', 'macronutrient and micronutrient analysis', 'dietary software (e.g., myfitnesspal, cronometer)', 'medical nutrition therapy (mnt)', 'food label reading and interpretation', 'meal planning software', 'anthropometric measurements', 'sports nutrition (if specialized)']","['communication', 'empathy', 'motivation']","['diet planning', 'nutritional assessment', 'food science', 'macronutrient and micronutrient analysis', 'dietary software (e.g., myfitnesspal, cronometer)', 'medical nutrition therapy (mnt)', 'food label reading and interpretation', 'meal planning software', 'anthropometric measurements', 'sports nutrition (if specialized)', 'communication', 'empathy', 'motivation']"
58,Optometrist,Healthcare,Master,Medicine (Medicine and Nursing Students),2,"['Eye Examinations', 'Contact Lens Fitting', 'Vision Therapy', 'Refraction', 'Ophthalmoscopy', 'Slit Lamp Examination', 'Tonometry', 'Fundus Photography', 'Optical Dispensing', 'Ocular Disease Diagnosis and Management']","['Patient Care', 'Attention to Detail', 'Communication']","['eye examinations', 'contact lens fitting', 'vision therapy', 'refraction', 'ophthalmoscopy', 'slit lamp examination', 'tonometry', 'fundus photography', 'optical dispensing', 'ocular disease diagnosis and management']","['patient care', 'attention to detail', 'communication']","['eye examinations', 'contact lens fitting', 'vision therapy', 'refraction', 'ophthalmoscopy', 'slit lamp examination', 'tonometry', 'fundus photography', 'optical dispensing', 'ocular disease diagnosis and management', 'patient care', 'attention to detail', 'communication']"
59,Public Health Officer,Healthcare,Master,Science,4,"['Epidemiology', 'Health Policy', 'Disease Prevention', 'Biostatistics', 'Data Analysis (public health datasets)', 'Health Promotion Program Design', 'Community Needs Assessment', 'Emergency Preparedness and Response', 'Environmental Health regulations', 'Surveillance Systems (e.g., for infectious diseases)']","['Leadership', 'Communication', 'Critical Thinking']","['epidemiology', 'health policy', 'disease prevention', 'biostatistics', 'data analysis (public health datasets)', 'health promotion program design', 'community needs assessment', 'emergency preparedness and response', 'environmental health regulations', 'surveillance systems (e.g., for infectious diseases)']","['leadership', 'communication', 'critical thinking']","['epidemiology', 'health policy', 'disease prevention', 'biostatistics', 'data analysis (public health datasets)', 'health promotion program design', 'community needs assessment', 'emergency preparedness and response', 'environmental health regulations', 'surveillance systems (e.g., for infectious diseases)', 'leadership', 'communication', 'critical thinking']"
60,Medical Technologist,Healthcare,Bachelor,Science,2,"['Lab Testing', 'Diagnostic Equipment', 'Data Analysis', 'Clinical Chemistry Analyzers', 'Microbiology Techniques', 'Immunology Assays', 'Molecular Diagnostics', 'Quality Control (QC) procedures', 'Laboratory Information Management Systems (LIMS)', 'Calibration and maintenance of lab instruments']","['Attention to Detail', 'Teamwork', 'Problem-Solving']","['lab testing', 'diagnostic equipment', 'data analysis', 'clinical chemistry analyzers', 'microbiology techniques', 'immunology assays', 'molecular diagnostics', 'quality control (qc) procedures', 'laboratory information management systems (lims)', 'calibration and maintenance of lab instruments']","['attention to detail', 'teamwork', 'problem-solving']","['lab testing', 'diagnostic equipment', 'data analysis', 'clinical chemistry analyzers', 'microbiology techniques', 'immunology assays', 'molecular diagnostics', 'quality control (qc) procedures', 'laboratory information management systems (lims)', 'calibration and maintenance of lab instruments', 'attention to detail', 'teamwork', 'problem-solving']"
61,Graphic Designer,Arts and Media,Bachelor,Design,1,"['Adobe Creative Suite (Photoshop, Illustrator, InDesign)', 'Typography', 'Branding', 'Layout Design', 'Color Theory', 'Print Production', 'Web Design principles (UI/UX basics)', 'Vector Graphics', 'Raster Graphics', 'Client Brief Interpretation']","['Creativity', 'Communication', 'Time Management']","['adobe creative suite (photoshop, illustrator, indesign)', 'typography', 'branding', 'layout design', 'color theory', 'print production', 'web design principles (ui/ux basics)', 'vector graphics', 'raster graphics', 'client brief interpretation']","['creativity', 'communication', 'time management']","['adobe creative suite (photoshop, illustrator, indesign)', 'typography', 'branding', 'layout design', 'color theory', 'print production', 'web design principles (ui/ux basics)', 'vector graphics', 'raster graphics', 'client brief interpretation', 'creativity', 'communication', 'time management']"
62,Animator,Arts and Media,Bachelor,Design,2,"['2D/3D Animation', 'Storyboarding', 'Motion Graphics', 'Adobe After Effects', 'Autodesk Maya/Blender/Cinema 4D', 'Character Rigging', 'Keyframing', 'Rendering', 'Compositing', 'Lip-syncing']","['Creativity', 'Collaboration', 'Attention to Detail']","['2d/3d animation', 'storyboarding', 'motion graphics', 'adobe after effects', 'autodesk maya/blender/cinema 4d', 'character rigging', 'keyframing', 'rendering', 'compositing', 'lip-syncing']","['creativity', 'collaboration', 'attention to detail']","['2d/3d animation', 'storyboarding', 'motion graphics', 'adobe after effects', 'autodesk maya/blender/cinema 4d', 'character rigging', 'keyframing', 'rendering', 'compositing', 'lip-syncing', 'creativity', 'collaboration', 'attention to detail']"
63,Illustrator,Arts and Media,Bachelor,Design,1,"['Digital Illustration', 'Sketching', 'Concept Art', 'Adobe Illustrator', 'Adobe Photoshop', 'Procreate (for digital painting)', 'Perspective', 'Anatomy (for character illustration)', 'Color Palette Creation', 'Vector vs. Raster illustration']","['Creativity', 'Adaptability', 'Attention to Detail']","['digital illustration', 'sketching', 'concept art', 'adobe illustrator', 'adobe photoshop', 'procreate (for digital painting)', 'perspective', 'anatomy (for character illustration)', 'color palette creation', 'vector vs. raster illustration']","['creativity', 'adaptability', 'attention to detail']","['digital illustration', 'sketching', 'concept art', 'adobe illustrator', 'adobe photoshop', 'procreate (for digital painting)', 'perspective', 'anatomy (for character illustration)', 'color palette creation', 'vector vs. raster illustration', 'creativity', 'adaptability', 'attention to detail']"
64,Video Editor,Arts and Media,Bachelor,Design,2,"['Adobe Premiere', 'Color Grading', 'Sound Editing', 'Final Cut Pro/DaVinci Resolve', 'Motion Graphics (basic After Effects)', 'Footage Selection', 'Pacing and Rhythm', 'Transitions', 'Encoding and Exporting Formats', 'Post-production workflow']","['Creativity', 'Time Management', 'Collaboration']","['adobe premiere', 'color grading', 'sound editing', 'final cut pro/davinci resolve', 'motion graphics (basic after effects)', 'footage selection', 'pacing and rhythm', 'transitions', 'encoding and exporting formats', 'post-production workflow']","['creativity', 'time management', 'collaboration']","['adobe premiere', 'color grading', 'sound editing', 'final cut pro/davinci resolve', 'motion graphics (basic after effects)', 'footage selection', 'pacing and rhythm', 'transitions', 'encoding and exporting formats', 'post-production workflow', 'creativity', 'time management', 'collaboration']"
65,Film Director,Arts and Media,Bachelor,Arts and Social Sciences,5,"['Storytelling', 'Cinematography', 'Script Analysis', 'Directing Actors', 'Shot Composition', 'Blocking', 'Lighting Techniques', 'Camera Operation (basic understanding)', 'Post-production Supervision', 'Budget Management (film production)']","['Leadership', 'Creativity', 'Communication']","['storytelling', 'cinematography', 'script analysis', 'directing actors', 'shot composition', 'blocking', 'lighting techniques', 'camera operation (basic understanding)', 'post-production supervision', 'budget management (film production)']","['leadership', 'creativity', 'communication']","['storytelling', 'cinematography', 'script analysis', 'directing actors', 'shot composition', 'blocking', 'lighting techniques', 'camera operation (basic understanding)', 'post-production supervision', 'budget management (film production)', 'leadership', 'creativity', 'communication']"
66,Music Producer,Arts and Media,Bachelor,Arts and Social Sciences,3,"['Audio Mixing', 'MIDI Programming', 'Sound Design', 'DAW (Digital Audio Workstation) proficiency (e.g., Logic Pro, Ableton Live, Pro Tools)', 'Mastering (audio)', 'Synthesizer Programming', 'Drum Programming', 'Vocal Production (tuning, effects)', 'Music Theory (basic to advanced)', 'Microphone Techniques']","['Creativity', 'Collaboration', 'Attention to Detail']","['audio mixing', 'midi programming', 'sound design', 'daw (digital audio workstation) proficiency (e.g., logic pro, ableton live, pro tools)', 'mastering (audio)', 'synthesizer programming', 'drum programming', 'vocal production (tuning, effects)', 'music theory (basic to advanced)', 'microphone techniques']","['creativity', 'collaboration', 'attention to detail']","['audio mixing', 'midi programming', 'sound design', 'daw (digital audio workstation) proficiency (e.g., logic pro, ableton live, pro tools)', 'mastering (audio)', 'synthesizer programming', 'drum programming', 'vocal production (tuning, effects)', 'music theory (basic to advanced)', 'microphone techniques', 'creativity', 'collaboration', 'attention to detail']"
67,Sound Engineer,Arts and Media,Bachelor,Engineering,2,"['Audio Editing', 'Live Sound Mixing', 'Acoustics', 'Pro Tools/Logic Pro/Ableton Live', 'Microphone Placement', 'PA System Setup and Operation', 'Signal Flow (audio)', 'Noise Reduction Techniques', 'Feedback Suppression', 'Sound Reinforcement']","['Attention to Detail', 'Problem-Solving', 'Teamwork']","['audio editing', 'live sound mixing', 'acoustics', 'pro tools/logic pro/ableton live', 'microphone placement', 'pa system setup and operation', 'signal flow (audio)', 'noise reduction techniques', 'feedback suppression', 'sound reinforcement']","['attention to detail', 'problem-solving', 'teamwork']","['audio editing', 'live sound mixing', 'acoustics', 'pro tools/logic pro/ableton live', 'microphone placement', 'pa system setup and operation', 'signal flow (audio)', 'noise reduction techniques', 'feedback suppression', 'sound reinforcement', 'attention to detail', 'problem-solving', 'teamwork']"
68,Photographer,Arts and Media,Bachelor,Design,1,"['Photo Editing', 'Lighting Techniques', 'Composition', 'Camera Operation (DSLR/Mirrorless)', 'Adobe Lightroom/Photoshop', 'Lens Knowledge', 'Studio Lighting', 'Natural Light Photography', 'Post-processing workflows', 'Exposure Triangle (aperture, shutter speed, ISO)']","['Creativity', 'Attention to Detail', 'Adaptability']","['photo editing', 'lighting techniques', 'composition', 'camera operation (dslr/mirrorless)', 'adobe lightroom/photoshop', 'lens knowledge', 'studio lighting', 'natural light photography', 'post-processing workflows', 'exposure triangle (aperture, shutter speed, iso)']","['creativity', 'attention to detail', 'adaptability']","['photo editing', 'lighting techniques', 'composition', 'camera operation (dslr/mirrorless)', 'adobe lightroom/photoshop', 'lens knowledge', 'studio lighting', 'natural light photography', 'post-processing workflows', 'exposure triangle (aperture, shutter speed, iso)', 'creativity', 'attention to detail', 'adaptability']"
69,Content Creator,Arts and Media,Bachelor,Arts and Social Sciences,1,"['Video Production', 'Social Media Management', 'Copywriting', 'Basic Graphic Design (Canva, etc.)', 'SEO (for content)', 'Video Editing (basic, e.g., CapCut, InShot)', 'Analytics Interpretation (social media, website)', 'Audience Engagement Strategies', 'Thumbnail Design', 'Content Scheduling Tools']","['Creativity', 'Communication', 'Adaptability']","['video production', 'social media management', 'copywriting', 'basic graphic design (canva, etc.)', 'seo (for content)', 'video editing (basic, e.g., capcut, inshot)', 'analytics interpretation (social media, website)', 'audience engagement strategies', 'thumbnail design', 'content scheduling tools']","['creativity', 'communication', 'adaptability']","['video production', 'social media management', 'copywriting', 'basic graphic design (canva, etc.)', 'seo (for content)', 'video editing (basic, e.g., capcut, inshot)', 'analytics interpretation (social media, website)', 'audience engagement strategies', 'thumbnail design', 'content scheduling tools', 'creativity', 'communication', 'adaptability']"
70,Copywriter,Arts and Media,Bachelor,Arts and Social Sciences,2,"['SEO Writing', 'Brand Messaging', 'Content Strategy', 'Grammar and Punctuation (advanced)', 'Persuasive Writing', 'Editing and Proofreading', 'Market Research (for target audience)', 'A/B Testing (for headlines/CTAs)', 'Keyword Research', 'CRM (Customer Relationship Management) copywriting']","['Creativity', 'Communication', 'Research']","['seo writing', 'brand messaging', 'content strategy', 'grammar and punctuation (advanced)', 'persuasive writing', 'editing and proofreading', 'market research (for target audience)', 'a/b testing (for headlines/ctas)', 'keyword research', 'crm (customer relationship management) copywriting']","['creativity', 'communication', 'research']","['seo writing', 'brand messaging', 'content strategy', 'grammar and punctuation (advanced)', 'persuasive writing', 'editing and proofreading', 'market research (for target audience)', 'a/b testing (for headlines/ctas)', 'keyword research', 'crm (customer relationship management) copywriting', 'creativity', 'communication', 'research']"
71,Journalist,Arts and Media,Bachelor,Arts and Social Sciences,2,"['Investigative Reporting', 'Interviewing', 'Fact-Checking', 'News Writing', 'Digital Storytelling', 'Multimedia Production', 'AP Style', 'SEO Optimization']","['Communication', 'Curiosity', 'Adaptability']","['investigative reporting', 'interviewing', 'fact-checking', 'news writing', 'digital storytelling', 'multimedia production', 'ap style', 'seo optimization']","['communication', 'curiosity', 'adaptability']","['investigative reporting', 'interviewing', 'fact-checking', 'news writing', 'digital storytelling', 'multimedia production', 'ap style', 'seo optimization', 'communication', 'curiosity', 'adaptability']"
72,Screenwriter,Arts and Media,Bachelor,Arts and Social Sciences,3,"['Scriptwriting', 'Story Development', 'Dialogue Writing', 'Screenplay Formatting', 'Plot Structuring', 'Character Development', 'Final Draft Software', 'Genre Conventions']","['Creativity', 'Persistence', 'Collaboration']","['scriptwriting', 'story development', 'dialogue writing', 'screenplay formatting', 'plot structuring', 'character development', 'final draft software', 'genre conventions']","['creativity', 'persistence', 'collaboration']","['scriptwriting', 'story development', 'dialogue writing', 'screenplay formatting', 'plot structuring', 'character development', 'final draft software', 'genre conventions', 'creativity', 'persistence', 'collaboration']"
73,Social Media Manager,Arts and Media,Bachelor,Business,2,"['Content Scheduling', 'Analytics', 'Campaign Management', 'SEO', 'Social Listening', 'Graphic Design', 'Video Editing', 'Influencer Outreach', 'Platform-Specific Strategies']","['Creativity', 'Communication', 'Adaptability']","['content scheduling', 'analytics', 'campaign management', 'seo', 'social listening', 'graphic design', 'video editing', 'influencer outreach', 'platform-specific strategies']","['creativity', 'communication', 'adaptability']","['content scheduling', 'analytics', 'campaign management', 'seo', 'social listening', 'graphic design', 'video editing', 'influencer outreach', 'platform-specific strategies', 'creativity', 'communication', 'adaptability']"
74,Brand Strategist,Arts and Media,Bachelor,Business,3,"['Market Research', 'Brand Positioning', 'Consumer Insights', 'Competitive Analysis', 'Storytelling', 'SWOT Analysis', 'Brand Messaging', 'Strategic Planning']","['Strategic Thinking', 'Communication', 'Creativity']","['market research', 'brand positioning', 'consumer insights', 'competitive analysis', 'storytelling', 'swot analysis', 'brand messaging', 'strategic planning']","['strategic thinking', 'communication', 'creativity']","['market research', 'brand positioning', 'consumer insights', 'competitive analysis', 'storytelling', 'swot analysis', 'brand messaging', 'strategic planning', 'strategic thinking', 'communication', 'creativity']"
75,Art Director,Arts and Media,Bachelor,Design,4,"['Visual Storytelling', 'Creative Direction', 'Branding', 'Typography', 'Color Theory', 'Adobe Creative Suite', 'UX/UI Design', 'Team Management', 'Campaign Development']","['Leadership', 'Creativity', 'Collaboration']","['visual storytelling', 'creative direction', 'branding', 'typography', 'color theory', 'adobe creative suite', 'ux/ui design', 'team management', 'campaign development']","['leadership', 'creativity', 'collaboration']","['visual storytelling', 'creative direction', 'branding', 'typography', 'color theory', 'adobe creative suite', 'ux/ui design', 'team management', 'campaign development', 'leadership', 'creativity', 'collaboration']"
76,Creative Director,Arts and Media,Bachelor,Design,5,"['Campaign Development', 'Creative Strategy', 'Team Leadership', 'Brand Identity', 'Storyboarding', 'Visual Communication', 'Client Relations', 'Budget Management']","['Visionary Thinking', 'Leadership', 'Communication']","['campaign development', 'creative strategy', 'team leadership', 'brand identity', 'storyboarding', 'visual communication', 'client relations', 'budget management']","['visionary thinking', 'leadership', 'communication']","['campaign development', 'creative strategy', 'team leadership', 'brand identity', 'storyboarding', 'visual communication', 'client relations', 'budget management', 'visionary thinking', 'leadership', 'communication']"
77,Game Designer,Arts and Media,Bachelor,Design,2,"['Game Mechanics', 'Level Design', 'Prototyping', 'Narrative Design', 'Unity/Unreal Engine', 'User Testing', 'Gameplay Balancing', 'GDD Creation']","['Creativity', 'Problem-Solving', 'Collaboration']","['game mechanics', 'level design', 'prototyping', 'narrative design', 'unity/unreal engine', 'user testing', 'gameplay balancing', 'gdd creation']","['creativity', 'problem-solving', 'collaboration']","['game mechanics', 'level design', 'prototyping', 'narrative design', 'unity/unreal engine', 'user testing', 'gameplay balancing', 'gdd creation', 'creativity', 'problem-solving', 'collaboration']"
78,Fashion Designer,Arts and Media,Bachelor,Design,3,"['Pattern Making', 'Textile Knowledge', 'Fashion Illustration', 'Sewing Techniques', 'CAD for Fashion', 'Trend Forecasting', 'Fabric Sourcing', 'Color Theory']","['Creativity', 'Attention to Detail', 'Trend Awareness']","['pattern making', 'textile knowledge', 'fashion illustration', 'sewing techniques', 'cad for fashion', 'trend forecasting', 'fabric sourcing', 'color theory']","['creativity', 'attention to detail', 'trend awareness']","['pattern making', 'textile knowledge', 'fashion illustration', 'sewing techniques', 'cad for fashion', 'trend forecasting', 'fabric sourcing', 'color theory', 'creativity', 'attention to detail', 'trend awareness']"
79,Interior Designer,Arts and Media,Bachelor,Design,2,"['Space Planning', '3D Rendering', 'Material Selection', 'AutoCAD', 'SketchUp', 'Lighting Design', 'Building Codes', 'Client Consultation']","['Creativity', 'Communication', 'Problem-Solving']","['space planning', '3d rendering', 'material selection', 'autocad', 'sketchup', 'lighting design', 'building codes', 'client consultation']","['creativity', 'communication', 'problem-solving']","['space planning', '3d rendering', 'material selection', 'autocad', 'sketchup', 'lighting design', 'building codes', 'client consultation', 'creativity', 'communication', 'problem-solving']"
80,Web Content Manager,Technology,Bachelor,Computing,2,"['Content Management Systems', 'SEO', 'HTML/CSS', 'Google Analytics', 'Content Strategy', 'Digital Marketing', 'Web Accessibility', 'User Experience']","['Communication', 'Organization', 'Attention to Detail']","['content management systems', 'seo', 'html/css', 'google analytics', 'content strategy', 'digital marketing', 'web accessibility', 'user experience']","['communication', 'organization', 'attention to detail']","['content management systems', 'seo', 'html/css', 'google analytics', 'content strategy', 'digital marketing', 'web accessibility', 'user experience', 'communication', 'organization', 'attention to detail']"
81,University Lecturer,Education,Master,Arts and Social Sciences,4,"['Curriculum Development', 'Academic Research', 'Lecture Delivery', 'Grading Systems', 'Learning Management Systems', 'Student Mentorship', 'Assessment Design', 'Public Speaking']","['Communication', 'Mentorship', 'Public Speaking']","['curriculum development', 'academic research', 'lecture delivery', 'grading systems', 'learning management systems', 'student mentorship', 'assessment design', 'public speaking']","['communication', 'mentorship', 'public speaking']","['curriculum development', 'academic research', 'lecture delivery', 'grading systems', 'learning management systems', 'student mentorship', 'assessment design', 'public speaking', 'communication', 'mentorship', 'public speaking']"
82,Primary School Teacher,Education,Bachelor,Arts and Social Sciences,2,"['Lesson Planning', 'Classroom Management', 'Child Development', 'Educational Technology', 'Student Engagement', 'Assessment Strategies', 'Behavioral Management', 'Parent Communication']","['Patience', 'Communication', 'Empathy']","['lesson planning', 'classroom management', 'child development', 'educational technology', 'student engagement', 'assessment strategies', 'behavioral management', 'parent communication']","['patience', 'communication', 'empathy']","['lesson planning', 'classroom management', 'child development', 'educational technology', 'student engagement', 'assessment strategies', 'behavioral management', 'parent communication', 'patience', 'communication', 'empathy']"
83,Secondary School Teacher,Education,Bachelor,Arts and Social Sciences,3,"['Subject Expertise', 'Assessment Design', 'Classroom Management', 'Educational Pedagogy', 'Student Mentoring', 'Lesson Differentiation', 'Exam Preparation', 'Technology Integration']","['Communication', 'Patience', 'Leadership']","['subject expertise', 'assessment design', 'classroom management', 'educational pedagogy', 'student mentoring', 'lesson differentiation', 'exam preparation', 'technology integration']","['communication', 'patience', 'leadership']","['subject expertise', 'assessment design', 'classroom management', 'educational pedagogy', 'student mentoring', 'lesson differentiation', 'exam preparation', 'technology integration', 'communication', 'patience', 'leadership']"
84,Curriculum Developer,Education,Master,Arts and Social Sciences,3,"['Educational Standards', 'Instructional Design', 'Assessment Strategies', 'e-Learning Tools', 'Course Mapping', 'Rubric Design', 'Curriculum Alignment', 'Accreditation Requirements']","['Collaboration', 'Creativity', 'Problem-Solving']","['educational standards', 'instructional design', 'assessment strategies', 'e-learning tools', 'course mapping', 'rubric design', 'curriculum alignment', 'accreditation requirements']","['collaboration', 'creativity', 'problem-solving']","['educational standards', 'instructional design', 'assessment strategies', 'e-learning tools', 'course mapping', 'rubric design', 'curriculum alignment', 'accreditation requirements', 'collaboration', 'creativity', 'problem-solving']"
85,Research Scientist,Science and Research,Master,Science,4,"['Experimental Design', 'Data Analysis', 'Scientific Writing', 'Hypothesis Testing', 'Literature Review', 'Statistical Software', 'Lab Techniques', 'Research Methodology']","['Critical Thinking', 'Curiosity', 'Persistence']","['experimental design', 'data analysis', 'scientific writing', 'hypothesis testing', 'literature review', 'statistical software', 'lab techniques', 'research methodology']","['critical thinking', 'curiosity', 'persistence']","['experimental design', 'data analysis', 'scientific writing', 'hypothesis testing', 'literature review', 'statistical software', 'lab techniques', 'research methodology', 'critical thinking', 'curiosity', 'persistence']"
86,Librarian,Education,Master,Arts and Social Sciences,2,"['Cataloging', 'Information Retrieval', 'Digital Archives', 'Library Management Systems', 'Metadata Standards', 'User Services', 'Collection Development', 'Information Literacy Training']","['Organization', 'Customer Service', 'Attention to Detail']","['cataloging', 'information retrieval', 'digital archives', 'library management systems', 'metadata standards', 'user services', 'collection development', 'information literacy training']","['organization', 'customer service', 'attention to detail']","['cataloging', 'information retrieval', 'digital archives', 'library management systems', 'metadata standards', 'user services', 'collection development', 'information literacy training', 'organization', 'customer service', 'attention to detail']"
